100000	109.3750582	-13.29394737
79569	108.7623916	-17.92749472
63313	111.7552792	-25.10317047
50377	110.4384524	-30.75187515
40085	112.3878363	-37.40824437
31895	112.7259222	-47.17739348
25379	115.4162805	-57.82136547
20194	117.6033537	-70.66322388
16068	119.7963945	-86.463469
12785	122.1433897	-105.915916
10173	124.0260237	-129.6498432
8094.6	125.9515861	-159.7114835
6440.8	127.4003082	-197.8382106
5124.9	128.7258595	-245.9161605
4077.9	130.426556	-306.3732917
3244.7	132.055405	-382.4322661
2581.8	133.8121708	-478.2943221
2054.3	135.9594821	-598.9117145
1634.6	137.8642564	-744.5741868
1300.6	141.83549	-933.4355448
1034.9	147.4345621	-1170.350037
823.47	155.2982493	-1467.706804
655.23	166.2131236	-1840.610444
521.36	182.5250797	-2308.896664
414.84	204.0052643	-2895.622505
330.09	237.3290808	-3630.651383
262.65	287.2009185	-4552.24926
208.99	359.9377481	-5705.157059
166.29	469.5137051	-7144.288696
132.32	634.9299426	-8945.294898
105.28	882.7350619	-11191.24009
83.772	1264.068747	-13998.04112
66.657	1823.950338	-17471.04923
52.785	2717.3089	-21753.94588
41.519	4106.222125	-27508.2153
32.431	6280.46947	-34593.51072
25.15	9723.080556	-43498.56191
19.362	15050.98722	-54382.66372
14.794	23317.57278	-67451.33226
11.22	35505.78647	-82088.33639
8.4456	52353.56093	-97231.11415
6.3107	74118.85034	-111346.9067
4.6821	99237.42039	-122766.9092
3.4505	125446.2777	-131915.8558
2.5271	151275.3973	-139886.5103
1.8408	175328.3118	-148584.0351
1.3346	197405.1204	-162208.1023
0.96412	218519.4913	-183099.8089
0.69475	239497.563	-212710.6479
0.5	262551.7458	-256571.6095
