100000	110.250139	-7.574097645
79569	108.95458	-12.24047007
63313	107.5942312	-16.61801154
50377	107.9504595	-24.92232731
40085	107.8817398	-32.42765375
31895	109.0059721	-42.47773697
25379	110.7617567	-53.83080666
20194	112.5898734	-67.35696266
16068	114.3936034	-83.38667217
12785	116.6649174	-103.0350404
10173	118.6131548	-127.1970358
8094.6	120.4976109	-157.4903672
6440.8	122.3995404	-195.5762534
5124.9	124.3259915	-243.3731126
4077.9	126.6086166	-303.2621557
3244.7	129.3740447	-379.1658654
2581.8	132.8776015	-473.9971476
2054.3	137.8704994	-592.9319421
1634.6	143.4937103	-736.8378502
1300.6	153.2369823	-922.6312374
1034.9	167.5419854	-1155.516959
823.47	188.4048951	-1446.683381
655.23	219.4696951	-1810.949666
521.36	266.1609525	-2265.720203
414.84	333.3444653	-2833.35841
330.09	436.3658213	-3538.596054
262.65	591.1159532	-4412.582682
208.99	819.679475	-5491.159218
166.29	1169.659325	-6814.141729
132.32	1684.095855	-8412.792238
105.28	2438.565788	-10323.90725
83.772	3539.811105	-12568.01442
66.657	5094.187925	-15128.33826
52.785	7317.854456	-17878.31452
41.519	10204.90469	-20997.515
32.431	14075.40521	-24019.75371
25.15	18743.56791	-26738.78041
19.362	24005.86284	-28976.89062
14.794	29479.58881	-30730.29286
11.22	34900.61619	-32216.64164
8.4456	39992.80187	-33916.36246
6.3107	44904.42745	-36259.19265
4.6821	49496.92849	-39725.48501
3.4505	54184.19426	-44984.58478
2.5271	58825.13191	-52503.4376
1.8408	63788.20834	-63145.73244
1.3346	69105.3904	-78054.51632
0.96412	74803.7697	-98657.54983
0.69475	81074.54733	-127163.5713
0.5	88276.96258	-166585.5299
